 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2005,https://doi.org/10.1016/j.bmc.2005.06.059,Carbohydrate,,"Neu5Ac2en, which is a sialic acid derivative","β-O-glycosides of 4,5-unsaturated 2-acetamido-D-glucuronic acid","The function of β-O-glycosides of 4,5-unsaturated 2-acetamido-D-glucuronic acid is to act as mimetics and inhibitors of influenza virus sialidase",Mucopolysaccharidoses/Cancer: Disrupts glycosaminoglycan pathways
2006,https://doi.org/10.1016/j.tet.2006.05.080,Carbohydrate,glycosidases,glucose,1-cyano-2-phthalimidederivative,"1-Cyano-2-phthalimidederivatives are versatile compounds with a wide range of applications. They are primarily used as intermediates in organic synthesis, particularly in the preparation of various pharmaceuticals, agrochemicals, and dyes2. These derivatives exhibit significant biological activities, including anticancer, antibacterial, anti-inflammatory, and antifungal properties",Cancer Phthalimide derivatives like thalidomide and lenalidomide are used for multiple myeloma and autoimmune diseases
2006,https://doi.org/10.2174/138620706778249703,Carbohydrate,glycosidases,aglycon moiety,Tetrahydropyridoimidazole,"Tetrahydropyridoimidazole is a heterocyclic scaffold with diverse pharmacological functions, primarily in anticancer therapy, antimicrobial action, and ion channel modulation. Its biological activity stems from structural interactions with key cellular targets, modulated by substituents and stereochemistry.",Cancer: Targets EGFR mutants in non-small cell lung cancer (NSCLC)
2006,https://doi.org/10.1080/07328300600733020,Carbohydrate,glycoproteins,cyclic peptide cRGDFV,"vitronectins, avb3",a class of extracellular proteins that facilitate cell-cell recognition,"Cancer/Angiogenesis: Inhibitors (e.g., cilengitide) target tumor vasculature and metastasis"
2006,https://doi.org/10.1021/jo051989g,Carbohydrate,carbasugar,pyranose,"cyclooctane-1,2,3-triols",Glycosidase inhibitors,Explored as intermediates for glycoconjugates with potential antiviral/anticancer activity.
2006,https://doi.org/10.1016/j.tet.2006.05.080,Carbohydrate,Miscellaneous,D- glucose,b(1/6)-amide-linked oligomer,"The ( \beta (1/6) )-amide-linked oligomer is part of a new class of carbohydrate mimetics that are resistant to glycosidases. These oligomers have been investigated for their biological activities, such as anti-HIV activity and inhibition of sialyl Lewis x-mediated cell adhesion. The O-sulfated oligomers effectively inhibited HIV infection, sialyl Lewis x-mediated cell adhesion, and heparanase activity in a linkage-specific manner. Therefore, these molecules have potential applications as drugs that block protein–protein interactions and inhibit enzyme catalysis","Cancer Immunotherapy:(1→6)-β-glucose-branched poly-amido-saccharides (PASs) mimic β-glucans, stimulating macrophage polarization and enhancing antitumor immunity."
2006,https://doi.org/10.1016/j.tet.2006.05.080,Carbohydrate,glycosides,O-glycoside,S-glycosides,"S-Glycosides serve as robust tools in glycan synthesis and enzyme inhibition studies, leveraging their chemical stability and stereochemical control. While therapeutic applications are emerging, their resistance to degradation positions them as promising candidates for drug development and targeted delivery systems.","Cancer: Compound S-2 (β-D-xylopyranosyl derivative) showed moderate cytotoxicity against lung carcinoma (A-549 cells, IC₅₀ = 74 µM) by inducing apoptosis"
2007,https://doi.org/10.1039/B700034K,Carbohydrate,glycosaminoglycan,heparin,PI88,"under phase II clinical trials to treat herpes simplex viral infections,",Hepatocellular carcinoma (Phase III trials)
2007,https://doi.org/10.1093/glycob/cwm020,Carbohydrate,Polymer mimetic,GM3,GM3-p (GM3 mimetic polymer),Inhibits NIH3T3 cell proliferation,Potential use in metastatic cancers
2007,https://doi.org/10.1093/glycob/cwm020,Carbohydrate,Polymer mimetic,LacCer,LacCer-p (LacCer mimetic polymer),"Lactosylceramide mimetic polymer (LacCer-p) is a synthetic analog designed to replicate the structure of natural lactosylceramide (LacCer), a glycosphingolipid involved in membrane organization and signaling.",Potential use in metastatic cancers
