Paper Publish Year,DOI,Category (Carbohydrate Mimetic),Mimic of which Carbohydrate,Name of the Carbohydrate Mimetic,Functions,Activity
1999,https://doi.org/10.1002/jccs.199900043,Glycomimetics,trisaccharide,SIALYL LEWIS X,"interaction of sl.e"" tetrasaccharide ligand with a class of calcium-dependent lectins, including E- , P- and L- selectins (Fig. 3).4 The selectin-carbohydrate interaction is involved in intlammatory reactions and, in certain cases, metastasis.",Inflammatory diseases: Anti-sLeX antibodies reduce neutrophil infiltration in ALI and asthma
1999,https://doi.org/10.1002/jccs.199900043,aminoglycoside,β-(1→3)-glucans,"glyco-type 1,3-hydroxyamine",mimetics exhibit strong antibiotic activities.,"Immune modulation: Mimics β-(1→3)-glucans, binds CR3/dectin-1 to stimulate phagocytosis"
2004,doi:10.1016/j.tetasy.2004.11.016,acylaminosugar,N-glycoproteins,"""acetamido derivative of GlcNAc","The acetamido derivative of GlcNAc functions as a simple model of the N-glycoprotein linkage region, used as an acceptor in transglycosylation and reversed hydrolysis catalyzed by β-N-acetylhexosaminidases",Osteoarthritis: Modulates glycosaminoglycan synthesis for joint health
2004,https://doi.org/10.1055/s-2005-868500,glycosides,β-O-glycoside ,b-C-Glycoconjugates,"β-C-Glycoconjugates combine the biological relevance of natural glycans with engineered stability, positioning them as critical tools in drug development, glycobiology research, and multivalent therapeutic design. Their resistance to degradation enables applications ranging from enzyme inhibition to advanced vaccine platforms",Bacterial Infections: Multivalent β-C-glycoconjugates disrupt biofilm formation in E. coli (UTIs) and P. aeruginosa (lung infections) with nanomolar efficacy
2004,https://doi.org/10.1055/s-2005-868500,glycosides,"β-D-allolactose (Galβ1,6Glc)",(1→6)-b-C-Disaccharides,"(1→6)-β-D-disaccharides serve as structural components in polysaccharides, metabolic intermediates, and cell surface markers, with their β-linkage conferring enzymatic resistance, branching properties, and biological recognition roles, making them crucial in glycobiology and prebiotic functions.",Autoimmune Disorders: GlcCer-anti-GlcCer immune complexes in Gaucher disease are mitigated by β-C-glycolipid analogs
2004,https://doi.org/10.1055/s-2005-868500,glycosides,β-linked glycosphingolipids,b-C-Ceramide Analog,"β-C-Ceramide analogs exploit ceramide’s apoptotic signaling while addressing limitations of natural ceramides. Their β-configuration and tailored substituents enhance mitochondrial targeting, enzyme modulation, and antimicrobial effects, positioning them as versatile agents in oncology and infectious disease.",Antimicrobial Therapy: ω-Azido-C6-ceramide kills Neisseria meningitidis and N. gonorrhoeae within 2 hours (MBC = 4 µg/ml)
2004,https://doi.org/10.1055/s-2005-868500,glycosides, β-galactose,b-C-Glycoglycerolipids,"β-C-Glycoglycerolipids are specialized glycolipids characterized by a β-configured carbon-glycosidic bond between carbohydrates and glycerol-based lipids. Their functions span structural, metabolic, and therapeutic roles",Autoimmune Disorders: GlcCer-anti-GlcCer immune complexes in Gaucher disease are mitigated by β-C-glycolipid analogs
2004,https://doi.org/10.1055/s-2005-868500,glycosides,β-linked O-tetrasaccharides,b-C-Tetrasaccharide,"β-C-Tetrasaccharides are synthetic carbohydrate analogs where the glycosidic oxygen is replaced by a carbon atom, forming a stable C–C bond. This structural modification enhances their resistance to enzymatic degradation while retaining biological activity. Their functions span immune modulation, neural development, and cellular signaling","Type 2 Diabetes:C-Trisaccharides (e.g., N-Trisaccharide from Cucumis prophetarum) reduce hyperglycemia by modulating insulin secretion and carbohydrate metabolism enzymes"
2004,https://doi.org/10.1055/s-2005-868500,glycosides,O-linked trisaccharides,C-trisaccharides,C-trisaccharides (carba-trisaccharides) are synthetic analogs of natural trisaccharides where the glycosidic oxygen is replaced by a methylene group,"Type 2 Diabetes:C-Trisaccharides (e.g., N-Trisaccharide from Cucumis prophetarum) reduce hyperglycemia by modulating insulin secretion and carbohydrate metabolism enzymes"
2004,https://doi.org/10.1055/s-2005-868500,glycosides,glucose,phenolic glycoside mimics,"Phenolic glycoside mimics are engineered compounds designed to replicate the bioactive properties of natural phenolic glycosides while overcoming limitations like enzymatic instability and poor bioavailability. Their functions span therapeutic applications, antioxidant activity, and targeted drug delivery, leveraging structural modifications such as stable C–C linkages or optimized glycosylation patterns","Cancer: Oxoflavidin (phenolic derivative) induces apoptosis in breast cancer cells (MDA-MB-231, IC₅₀ = 26.26 µM) via caspase-3/9 activation"
2005,https://doi.org/10.1186/1860-5397-1-12,glycosidases, glucose,1-deoxynojirimycin (DNJ) family,"its derivatives miglustat (N-nBu DNJ, Zavesa®) and miglitol (N-hydroxethyl DNJ, Glyset® or Diastabol®) have already found therapeutic applica tions in Gaucher's disease [11] and type 2 (non-insulino dependant mellitus) diabetes,","Diabetes: Inhibits α-glucosidase, reducing postprandial hyperglycemia"
