 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2007,https://doi.org/10.2174/187152507781058663,Carbohydrate,Oligomers,heparin,SR123781A,as also proved to be promising,Venous thromboembolism (Phase III trials
2007,https://doi.org/10.1021/bc700212b,Carbohydrate,Liposome,sialyl Lewis X (sLeX),SuLea-PEG-DSPE,may be used as nanocarriers to target activated platelets for drug delivery to the injury sites of cardiovascular diseases,Cardiovascular Diseases:PEG-DSPE-based nanocarriers are employed in delivering drugs for thrombosis and cardiovascular conditions due to prolonged circulation times and reduced systemic toxicity
2007,https://doi.org/10.1021/bc700212b,Carbohydrate,Liposome,sialyl Lewis X (sLeX),SuLea-DSGA,Used as a glycolipid without a PEG spacer for initial targeting studies,Cardiovascular Diseases:PEG-DSPE-based nanocarriers are employed in delivering drugs for thrombosis and cardiovascular conditions due to prolonged circulation times and reduced systemic toxicity
2007,https://doi.org/10.1021/bc700212b,Carbohydrate,Liposome,sialyl Lewis X (sLeX),PEG-DSPE,"Prolongs circulation time, provides steric stability",Cardiovascular Diseases:PEG-DSPE-based nanocarriers are employed in delivering drugs for thrombosis and cardiovascular conditions due to prolonged circulation times and reduced systemic toxicity
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,Carbohydrate,GAG Mimetics,heparan sulfate (HS),Idraparinux (SANORG 34006),"phase III clinical trials for the treatment of venous thromboembolism, anticogulant",Venous Thromboembolism (VTE):idraparinux is a synthetic pentasaccharide anticoagulant that inhibits Factor Xa. It was investigated for treating deep vein thrombosis (DVT) and pulmonary embolism (PE).
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,Carbohydrate,GAG Mimetics,heparan sulfate (HS),synthetic hexadecasaccharide SR123781,Anticoagulant,Potent antithrombotic agent in venous and arterial thrombosis models
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,Carbohydrate,GAG Mimetics,sulfated glycosaminoglycans (GAGs),Epicatechin Sulfate (ECS),Anticoagulant,"Cardiovascular Diseases:Reverses endothelial cell aging, improves nitric oxide production, and enhances vascular relaxation"
2009,https://doi.org/10.1002/chem.200900996,Carbohydrate,imino sugar derivative,amino sugar,"3,6-dihydro-2H-1,2-oxazines","Carbohydrate mimetics: 3,6-Dihydro-2H-1,2-oxazines mimic carbohydrates, interacting with carbohydrate-binding proteins.","Inhibit platelet aggregation, useful in cardiovascular diseases (e.g., thrombosis)"
2009,https://doi.org/10.1021/ja810025g,Protein,α-helix mimetic,MDM2 (Mouse Double Minute 2 homolog) in its interaction with p53 (Tumor Protein p53),H₂N-Phe-[Trp]-Leu-OH,"designed to inhibit the binding of MDM2 to p53, which is crucial for regulating the cell cycle and preventing tumor formation.","identified as a lead inhibitor with effective activity against MDM2/p53 binding, demonstrating a significant inhibitory effect (IC₅₀ < 50 μM)"
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,2F,stability and lipid-binding properties were improved,mimicked many of the lipid binding properties of apoA-I but failed to alter lesions in a mouse model of atherosclerosis.
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,4F,Inhibits inflammation and improves HDL properties,Administered as D-amino acid (D-4F) reduced atherosclerotic lesions in LDL receptor–null and apoE-null mice without altering plasma cholesterol levels. Improved anti-inflammatory properties in various conditions.
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,5F,Protects against atherosclerosis,L-5F significantly protected mice from diet-induced atherosclerosis and improved HDL's anti-inflammatory properties.
2009,https://doi.org/10.1002/ejoc.200900599,Protein,N-methyl amino acids,"C-terminal region (Phe-Phe-Gly-Leu-Met),",H-Lys-Phe-Ile-Gly-LeuMet-NH2,Using this information the peptidomimetic H-Lys-(Me)- Phe-Ile-Gly-(Me)Leu-Met-NH2 was prepared,Screening of this series of five peptides on the depressor activity of rabbit blood revealed that the modification of Ile and Met lead to inactive compounds while the modification of Phe and Leu showed no effect.
2009,https://doi.org/10.1002/ejoc.200900599,Protein,N-methylated peptide,"C-terminal region (Phe-Phe-Gly-Leu-Met),",H-Lys-(Me)- Phe-Ile-Gly-(Me)Leu-Met-NH2,higher resistance against degradation.,full depressor activity
2009,https://doi.org/10.1080/15419060801891018,Protein,peptide,Connexin,Gap27,mimics Connexin,Inhibition of gap junction channel formation: Cx43 +
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,Mixed-Type Oligosaccharides,glycosaminoglycan,idraparinux,"Idraparinux is a synthetic analog of the antithrombin-binding region of heparin, which is a critical site for heparin's anticoagulant activity.",Venous Thromboembolism (VTE):idraparinux is a synthetic pentasaccharide anticoagulant that inhibits Factor Xa. It was investigated for treating deep vein thrombosis (DVT) and pulmonary embolism (PE).
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,Mixed-Type Oligosaccharides,glycosaminoglycan,arixtria,"Arixtra is a synthetic analog of the antithrombin-binding region of heparin, which is a critical site for heparin's anticoagulant activity.","Thromboembolic Disorders:Approved for preventing DVT post-surgery (hip/knee replacement) and treating acute DVT/PE. It blocks Factor Xa, reducing clot formation. Also used for unstable angina and myocardial infarction"
2010,https://doi.org/10.4155/fmc.10.259,Protein,Cyclic heptapeptide,barbourin,Integrilin® (eptifibatide),Antiplatelet agent,Prevents ischemic events
2011,https://doi.org/10.1016/j.bbamem.2011.03.016,Protein,Membrane protein mimetic,"Cytochrome P450, rhodopsin, voltage-sensing domain of KvAP",Nanodiscs,Reconstitute membrane proteins in a functional form within a stable and flat lipid bilayer,"Facilitate NMR studies of membrane proteins by providing a more native-like environment compared to micelles, with stable and tunable size for better structural and functional analysis."
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Gi3α (C-terminal),TP10-Gi3α346–355,Activation of p42/p44 MAPK,Potential modulator of cell signaling in various diseases
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Chromogranin A,Vasostatin-1,Anti-andrenergic,Potential cardiovascular applications
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,eNOS (Calmodulin-binding domain),Nosangiotide,Anti-angiogenic,Potential anti-cancer activity by inhibiting blood vessel formation
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Calcitonin receptor,Camptide,cAMP modulation,Potential modulator of cAMP-dependent processes in various diseases
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,AT1AR receptor,AT1AR304–318 (M511),Blood vessel contraction,Potential modulator of blood pressure in cardiovascular diseases
2013,https://pubmed.ncbi.nlm.nih.gov/23378594/,Protein,Lyophilized peptide,apoA-I,D-4F,decreased inflammation in low-density lipoprotein receptor-null mice,"causes a reduction in metabolites of arachidonic and linoleic acids in the small intestine,Atherosclerosis"
2014,https://doi.org/10.1517/17425247.2014.902048,Carbohydrate,Glycopolymers,"Naturally occurring polysaccharides (e.g., glycosaminoglycans, chondroitin sulfate)",Glycopolymers,"Anticoagulant, anti-inflammatory, anti-tumor properties","Potential applications in treating cardiovascular diseases, inflammatory conditions, and cancer by mimicking biological activities of natural polysaccharides. May also be used as drug delivery systems and protein stabilizers in pharmaceutical formulations."
