ia,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2004,https://doi.org/10.1055/s-2005-868500,Carbohydrate,glycosides,β-linked O-tetrasaccharides,b-C-Tetrasaccharide,"β-C-Tetrasaccharides are synthetic carbohydrate analogs where the glycosidic oxygen is replaced by a carbon atom, forming a stable C–C bond. This structural modification enhances their resistance to enzymatic degradation while retaining biological activity. Their functions span immune modulation, neural development, and cellular signaling","Type 2 Diabetes:C-Trisaccharides (e.g., N-Trisaccharide from Cucumis prophetarum) reduce hyperglycemia by modulating insulin secretion and carbohydrate metabolism enzymes"
2004,https://doi.org/10.1055/s-2005-868500,Carbohydrate,glycosides,O-linked trisaccharides,C-trisaccharides,C-trisaccharides (carba-trisaccharides) are synthetic analogs of natural trisaccharides where the glycosidic oxygen is replaced by a methylene group,"Type 2 Diabetes:C-Trisaccharides (e.g., N-Trisaccharide from Cucumis prophetarum) reduce hyperglycemia by modulating insulin secretion and carbohydrate metabolism enzymes"
2005,https://doi.org/10.1186/1860-5397-1-12,Carbohydrate,glycosidases,glucose,1-deoxynojirimycin (DNJ) family,"its derivatives miglustat (N-nBu DNJ, Zavesa®) and miglitol (N-hydroxethyl DNJ, Glyset® or Diastabol®) have already found therapeutic applica tions in Gaucher's disease [11] and type 2 (non-insulino dependant mellitus) diabetes,","Diabetes: Inhibits α-glucosidase, reducing postprandial hyperglycemia"
2006,doi:10.2174/157017906778699530,Carbohydrate,glucopyranose,cyclopeptide tachykinin NK-2 antagonist,2-deoxy-2-thio-D-glucopyranose,2-deoxy-2-thio-D-glucopyranose is designed as a mimic of the cyclopeptide tachykinin NK-2 antagonist,Antiviral/Diabetes: Thiosugar analog with potential for α-glucosidase inhibition
2006,https://doi.org/10.1016/j.tet.2006.05.080,Carbohydrate,Miscellaneous,monosaccharides,pseudosugar cycloalkane,Pseudosugar cycloalkanes (carbasugars) are carbocyclic analogs of natural sugars where the furanose/pyranose oxygen is replaced with a methylene group. These compounds exhibit specialized biological functions due to their structural mimicry of carbohydrates while offering enhanced metabolic stability.,"Diabetes: Acarbose (pseudo-tetrasaccharide) slows carbohydrate digestion, managing type 2 diabetes"
2007,https://doi.org/10.1111/j.1742-1241.2007.01437.x,Carbohydrate,GLP-1 mimetic,GLP-1,exenatide,Subcutaneous injection for type II diabetes,Type II Diabetes:A GLP-1 receptor agonist that improves insulin secretion and reduces blood glucose levels.
2007,https://doi.org/10.1111/j.1742-1241.2007.01437.x,Carbohydrate,GLP-1 mimetic,GLP-1,liraglutide,Once daily dosing for type II diabetes,Obesity & Type II Diabetes:Enhances insulin sensitivity while promoting weight loss
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,NA,GLP-1,"exendin-4(1–39), exenatide, or AC-2993",a DPP-4-resistant GLP-1 receptor agonist isolated from the saliva of the Gila monster (Heloderma suspectum),exendin-4 replicates all of the known biological actions of GLP-1
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,NA,GLP-1,exenatide LAR,clinical trails for type-2 diabetes.,Once-weekly administration (0.8 or 2 mg) of exenatide LAR to type-2 diabetic patients for 15 weeks lowered HbA1c (1.4–1.7%) and reduced body weight (up to 3.8 kg).
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,Non-peptide incretin mimetics,incretin,Boc5,stimulated glucose-dependent insulin secretion and lowered food intake in mice.,The effects of Boc5 were countered by co-administration of exendin(9–39). injection of Boc5 to db/db mice over a 6-week period significantly lowered HbA1c values
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,peptide,GLP-1,PEG-DAPD,improved plasma half-life in vivo,"improves glucose tolerance and reduces blood glucose following a glucagon challenge.PEGylation appears to eliminate the inhibitory effect of DADP on gastrointestinal motility, and it is hoped that this will prevent the more significant gastrointestinal side-effects such as nausea and vomiting."
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Carbohydrate,Iminosugar,Glucose,Deoxynojirimycin (DNJ),Inhibitor of α-glucosidase,"Type II Diabetes:DNJ inhibits α-glucosidase, reducing postprandial hyperglycemia"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Carbohydrate,Iminosugar,Glucose,N-hydroxyethyl-DNJ (miglitol),Treatment for type II diabetes,"Type II Diabetes:Similar to DNJ, miglitol inhibits intestinal α-glucosidase, improving glycemic control"
2009,https://www.nature.com/articles/nrd2852.pdf,Carbohydrate,glycomimetic,α-glucosidase inhibitor,Voglibose (Glustat),Voglibose (Glustat) functions as an α-glucosidase inhibitor used for the treatment of diabetes,type 2 diabetes mellitus. It is an alpha-glucosidase inhibitor that helps control postprandial (after-meal) blood glucose levels by delaying the digestion and absorption of complex carbohydrates in the small intestine
2009,https://doi.org/10.1002/ejoc.200900945,Carbohydrate,glycoside,oligosaccharide,D-ribofuranoid glycoaminoxy acid,D-Ribofuranoid glycoaminoxy acid is a synthetic derivative of β-D-ribofuranose (the five-membered ring form of ribose) modified with an aminoxy group (–ONH₂) and a carboxylic acid (–COOH),Diabetic Nephropathy: Heparin analogs reduce advanced glycation end products (AGEs) and glomerular permeability
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,D-4F,ability to resist enzymatic degradation,inhibit atherosclerotic lesions.
2009,https://doi.org/10.1080/15419060801891034,Protein,Cx-mimetic peptides,Cx43,Gap 27/43,"Inhibits CxHc within minutes and gap junctions,  may be useful in reducing damage after spinal cord injury.","inhibiting intercellular communication and antigen cross presentation in dendritic cells, T-cell activation and production of immunoglobulins and cytokines in mixed lymphocyte cultures"
2009,https://doi.org/10.1080/15419060801891034,Protein,Cx-mimetic peptides,Cx43,Gap 27/40,"Inhibits Cx40 gap junctions,  may be useful in reducing damage after spinal cord injury.","inhibiting intercellular communication and antigen cross presentation in dendritic cells, T-cell activation and production of immunoglobulins and cytokines in mixed lymphocyte cultures"
2009,https://doi.org/10.1016/j.pharmthera.2009.06.002,Protein,glucagon,GLP-1,exenatide,"improves first phase insulin release,  induces a delay of
gastric emptying, and
decreases food intake. It improves the GLUT-4 expression in target
cells of STZ-diabetic rats,  On a long run
B-cell function is improved for which a permanently ongoing
treatment is necessary , treatment of type 2 diabetes","As a GLP-1 agonist, exenatide binds to the pancreatic GLP-1 receptor and improves glucose homeostasis by mimicking the actions of naturally occurring GLP-1, stimulates insulin release in a glucosedependent manner"
2009,https://doi.org/10.1016/j.pharmthera.2009.06.002,Protein,glucagon,incretin,Boc5,an oral incretin mimetic,Boc5 is a non-peptidic glucagon-like peptide-1 receptor (GLP-1R) agonist that mimics the activity of the natural incretin hormone GLP-1 (glucagon-like peptide-1)
2010,https://doi.org/10.4155/fmc.10.8,Carbohydrate,glycosidases,O-glycoside,C-glycosides,"C-glycosides serve as stable mimics of glycosides by replacing the anomeric oxygen with a carbon atom, which suppresses the reactivity of the anomeric center. This stability makes them useful in medicinal chemistry, as they are unable to undergo the metabolism of the parent sugar, allowing them to participate in biological processes of pharmacological relevance without being metabolized",Diabetes: Voglibose inhibits α-glucosidase
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,iminosugar,glucose,miglitol (N-(2-hydroxyethyl)-nojirimycin),"able to prevent digestion of carbohydrates by a-glucosidase inhibition , anti-diabetic and antiobesity compound",Type 2 Diabetes: Reduces postprandial glucose spikes as an α-glucosidase inhibitor
