 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2004,https://doi.org/10.1055/s-2005-868500,Carbohydrate,glycosides,β-O-glycoside,b-C-Glycoconjugates,"β-C-Glycoconjugates combine the biological relevance of natural glycans with engineered stability, positioning them as critical tools in drug development, glycobiology research, and multivalent therapeutic design. Their resistance to degradation enables applications ranging from enzyme inhibition to advanced vaccine platforms",Bacterial Infections: Multivalent β-C-glycoconjugates disrupt biofilm formation in E. coli (UTIs) and P. aeruginosa (lung infections) with nanomolar efficacy
2004,https://doi.org/10.1055/s-2005-868500,Carbohydrate,glycosides,β-linked glycosphingolipids,b-C-Ceramide Analog,"β-C-Ceramide analogs exploit ceramide’s apoptotic signaling while addressing limitations of natural ceramides. Their β-configuration and tailored substituents enhance mitochondrial targeting, enzyme modulation, and antimicrobial effects, positioning them as versatile agents in oncology and infectious disease.",Antimicrobial Therapy: ω-Azido-C6-ceramide kills Neisseria meningitidis and N. gonorrhoeae within 2 hours (MBC = 4 µg/ml)
2005,https://doi.org/10.1002/chem.200500025,Carbohydrate,glycosides,natural saccharides,O-galactosyl aldoximes,O-galactosyl aldoximes function as potent inhibitors of galectin-3,Antiviral/Enzyme inhibition: Potential glycosidase inhibitors
2006,https://doi.org/10.1016/j.carres.2006.01.024,Carbohydrate,glycomimetics,mannose,nonavalent mannoside,"The function of nonavalent mannoside clusters is to serve as inhibitors of type 1 fimbriae-mediated bacterial adhesion, specifically targeting mannose-specific bacterial adhesion","Bacterial infections: Blocks FimH adhesion in E. coli (e.g., urinary tract infections"
2006,doi:10.2174/157017906778699530,Carbohydrate,glucopyranose,cyclopeptide tachykinin NK-2 antagonist,2-deoxy-2-thio-D-glucopyranose,2-deoxy-2-thio-D-glucopyranose is designed as a mimic of the cyclopeptide tachykinin NK-2 antagonist,Antiviral/Diabetes: Thiosugar analog with potential for α-glucosidase inhibition
2006,https://doi.org/10.1021/jo051989g,Carbohydrate,carbasugar,pyranose,"cyclooctane-1,2,3-triols",Glycosidase inhibitors,Explored as intermediates for glycoconjugates with potential antiviral/anticancer activity.
2007,https://doi.org/10.1055/s-2007-984907,Carbohydrate,NA,hexose sugars,Enantiopure aminopyrans,Enantiopure aminopyrans are regarded as carbohydrate mimetics and serve as building blocks for the synthesis of novel enantiopure amino acids with a carbohydrate-like backbone. They are used to generate a wide range of highly functionalized and diverse compounds with potential biological activity,"Anti-inflammatory Diseases: Aminopyrans derived from 1,2-oxazines (e.g., compounds 24, 28) act as carbohydrate mimetics and inhibit L- and P-selectins, proteins involved in inflammation. They show potential for treating inflammatory conditions like arthritis and vascular inflammation"
2007,https://doi.org/10.1055/s-2007-984907,Carbohydrate,NA,D-xylose,Triazoles,Enantiopure aminopyrans are regarded as carbohydrate mimetics and serve as building blocks for the synthesis of novel enantiopure amino acids with a carbohydrate-like backbone. They are used to generate a wide range of highly functionalized and diverse compounds with potential biological activity,"Invasive Fungal Diseases (IFDs): Mold-active triazoles (e.g., voriconazole, posaconazole, isavuconazole) are used for prophylaxis and treatment of fungal infections like aspergillosis and candidiasis in immunocompromised patients"
2007,https://doi.org/10.1002/chem.200700787,Carbohydrate,Oligomannoside mimetic,trimannoside,"Methyl 3,6-di-O-(3-{a-d-mannopyranosyloxy}-propyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Carbohydrate,Oligomannoside mimetic,α-mannosylated carbohydrates,"Methyl 3,6-di-O-(3-{3,6-di-O-[3-(a-d-mannopyranosyloxy)-propyl]-a-dmannopyranosyloxy}-propyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Carbohydrate,Oligomannoside mimetic,trimannose core (Manα1-3[Manα1-6]Man),"Methyl 3,6-di-O-(3-{3,6-di-O-[6-a-d-mannopyranosyloxy)-4-thiahexyl]-ad-mannopyranosyloxy}-propyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Carbohydrate,Oligomannoside mimetic,α-mannosylated carbohydrates,"Methyl 3,6-di-O-(6-{a-d-mannopyranosyloxy}-4-thiahexyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
